Department;Source_Type;Fiscal_Year;Quarter;Emissions_mtCO2e;Consumption;Consumption_Units
311 Customer Service Center;Electric;2012;Q1;0.00;87,717.259736901993;Electric (kWh)
311 Customer Service Center;Natural Gas;2012;Q1;2.664078639;500.41984416100001;Natural Gas (therms)
311 Customer Service Center;Electric;2012;Q2;0.00;86,972.812518788007;Electric (kWh)
311 Customer Service Center;Natural Gas;2012;Q2;2.63207535;494.40835467699998;Natural Gas (therms)
311 Customer Service Center;Electric;2012;Q3;0.00;85,772.713947308002;Electric (kWh)
311 Customer Service Center;Natural Gas;2012;Q3;5.3297184140000002;1,001.132931712;Natural Gas (therms)
311 Customer Service Center;Electric;2012;Q4;0.00;87,920.086414631995;Electric (kWh)
311 Customer Service Center;Natural Gas;2012;Q4;3.284109833;616.88634368600003;Natural Gas (therms)
Adult Probation Department;B20;2012;Q1;0.00;0.00;B20 (gallons)
Adult Probation Department;B5;2012;Q1;0.00;0.00;B5 (gallons)
Adult Probation Department;CNG;2012;Q1;0.00;0.00;CNG (GGE)
Adult Probation Department;Gasoline;2012;Q1;2.4487753780000001;272.90000152599998;Gasoline (gallons)
Adult Probation Department;Propane;2012;Q1;0.00;0.00;Propane (gallons)
Adult Probation Department;B20;2012;Q2;0.00;0.00;B20 (gallons)
Adult Probation Department;B5;2012;Q2;0.00;0.00;B5 (gallons)
Adult Probation Department;CNG;2012;Q2;0.00;0.00;CNG (GGE)
Adult Probation Department;Gasoline;2012;Q2;3.822566154;425.999999285;Gasoline (gallons)
Adult Probation Department;Propane;2012;Q2;0.00;0.00;Propane (gallons)
Adult Probation Department;B20;2012;Q3;0.00;0.00;B20 (gallons)
Adult Probation Department;B5;2012;Q3;0.00;0.00;B5 (gallons)
Adult Probation Department;CNG;2012;Q3;0.00;0.00;CNG (GGE)
Adult Probation Department;Gasoline;2012;Q3;3.6565627109999999;407.50000119200001;Gasoline (gallons)
Adult Probation Department;Propane;2012;Q3;0.00;0.00;Propane (gallons)
Adult Probation Department;B20;2012;Q4;0.00;0.00;B20 (gallons)
Adult Probation Department;B5;2012;Q4;0.00;0.00;B5 (gallons)
Adult Probation Department;CNG;2012;Q4;0.00;0.00;CNG (GGE)
Adult Probation Department;Gasoline;2012;Q4;3.6763036499999999;409.69999980900002;Gasoline (gallons)
Adult Probation Department;Propane;2012;Q4;0.00;0.00;Propane (gallons)
Adult Probation Department;Electric;2012;Q1;0.00;114,390.82938571399;Electric (kWh)
Adult Probation Department;Natural Gas;2012;Q1;30.902127478000001;5,804.6476518279997;Natural Gas (therms)
Adult Probation Department;Electric;2012;Q2;0.00;109,356.082644076;Electric (kWh)
Adult Probation Department;Natural Gas;2012;Q2;37.339649371;7,013.8701031849996;Natural Gas (therms)
Adult Probation Department;Electric;2012;Q3;0.00;102,172.33257545999;Electric (kWh)
Adult Probation Department;Natural Gas;2012;Q3;41.291948220999998;7,756.2688992410003;Natural Gas (therms)
Adult Probation Department;Electric;2012;Q4;0.00;107,699.347374395;Electric (kWh)
Adult Probation Department;Natural Gas;2012;Q4;34.304378233000001;6,443.7255557950002;Natural Gas (therms)
Airport, San Francisco International (SFO);B20;2012;Q1;336.662141029;40,485.00;B20 (gallons)
Airport, San Francisco International (SFO);B5;2012;Q1;0.00;0.00;B5 (gallons)
Airport, San Francisco International (SFO);CNG;2012;Q1;410.95909441600003;66,500.75;CNG (GGE)
Airport, San Francisco International (SFO);Diesel;2012;Q1;47.412304624999997;4,543.75;Diesel (gallons)
Airport, San Francisco International (SFO);Gasoline;2012;Q1;260.39751392199997;29,019.599998474001;Gasoline (gallons)
Airport, San Francisco International (SFO);Propane;2012;Q1;0.00;0.00;Propane (gallons)
